,company,sector,industry,continent,country,market_value_2015,sales_2015,profits_2015,assets_2015,rank_2015,rank_2020,sales_2020,profits_2020,assets_2020,market_value_2020
699,Naspers,Consumer Discretionary,Broadcasting & Cable,Africa,South Africa,47.0,6.1,0.5,12.0,857,#563,$3.3 B,$4.4 B,$35.2 B,$67.8 B
700,Samsung Electronics,Information Technology,Semiconductors,Asia,South Korea,186.5,208.9,27.2,202.8,22,#16,$197.6 B,$18.4 B,$304.9 B,$278.7 B
701,Hyundai Motor,Consumer Discretionary,Auto & Truck Manufacturers,Asia,South Korea,49.7,79.8,7.8,126.4,87,#189,$90.5 B,$2.3 B,$163.3 B,$20.1 B
702,Posco,Materials,Iron & Steel,Asia,South Korea,24.8,56.5,1.2,80.0,236,#365,$53.2 B,$1.3 B,$67.6 B,$12.1 B
703,Shinhan Financial Group,Financials,Investment Services,Asia,South Korea,21.1,19.6,1.7,295.0,249,#268,$33.9 B,$2.9 B,$477.7 B,$11.7 B
704,KIA Motors,Consumer Discretionary,Auto & Truck Manufacturers,Asia,South Korea,22.8,43.5,3.5,34.3,258,#478,$50.9 B,$1.2 B,$45.8 B,$9.8 B
705,Hyundai Mobis,Consumer Discretionary,Auto & Truck Parts,Asia,South Korea,28.7,31.2,3.1,32.6,267,#417,$31.9 B,$1.8 B,$38.7 B,$13.2 B
706,Samsung Life Insurance,Financials,Life & Health Insurance,Asia,South Korea,18.0,21.8,0.7,182.8,356,#529,$23.8 B,$838 M,$270.4 B,$7.2 B
707,KB Financial Group,Financials,Investment Services,Asia,South Korea,13.7,15.8,1.2,276.5,370,#278,$37.3 B,$2.7 B,$449.9 B,$11.1 B
708,SK Hynix,Information Technology,Semiconductors,Asia,South Korea,24.9,12.9,2.6,19.8,439,#296,$23.2 B,$1.3 B,$55.2 B,$47 B
709,Hana Financial Group,Financials,Regional Banks,Asia,South Korea,10.6,13.0,0.8,279.7,457,#420,$28.3 B,$2.1 B,$364.5 B,$6.6 B
710,SK Telecom,Telecommunication Services,Telecommunications services,Asia,South Korea,16.6,15.3,1.5,25.2,460,#615,$15.2 B,$750 M,$38.6 B,$12.7 B
711,SK Innovation,Energy,Oil & Gas Operations,Asia,South Korea,10.6,60.9,0.7,33.4,497,#929,$42.8 B,$-31 M,$34.2 B,$7.1 B
712,Korea Electric Power,Utilities,Electric Utilities,Asia,South Korea,21.9,49.4,0.1,147.4,524,#594,$50.7 B,$-2 B,$170.9 B,$12.6 B
713,LG Chem,Materials,Specialized Chemicals,Asia,South Korea,16.4,21.1,1.1,16.5,547,#719,$24.6 B,$131 M,$30.5 B,$23.7 B
714,Lotte Shopping,Consumer Discretionary,Department Stores,Asia,South Korea,9.3,25.8,0.7,36.9,560,#1288,$15.1 B,$-780 M,$29.4 B,$2.3 B
715,Samsung Fire & Marine,Financials,Property & Casualty Insurance,Asia,South Korea,9.4,16.7,0.6,45.7,596,#728,$19.1 B,$551 M,$73 B,$6.6 B
716,SK Holdings,Energy,Oil & Gas Operations,Asia,South Korea,8.6,102.2,0.3,87.7,666,#541,$85.1 B,$615 M,$114.2 B,$7.3 B
717,Industrial Bank of Korea,Financials,Regional Banks,Asia,South Korea,6.4,8.9,0.8,201.4,677,#629,$13.8 B,$1.3 B,$275.1 B,$3.7 B
718,Hyundai Steel,Materials,Iron & Steel,Asia,South Korea,7.5,12.4,0.6,28.0,764,#1277,$17 B,$-179 M,$27.9 B,$2.3 B
719,LG Electronics,Consumer Discretionary,Consumer Electronics,Asia,South Korea,10.0,53.1,0.2,33.7,766,#770,$52.5 B,$411 M,$37.4 B,$8.1 B
720,LG Display,Information Technology,Electronics,Asia,South Korea,9.0,24.7,0.4,20.6,787,#1226,$18.9 B,$-2.5 B,$29.5 B,$3.2 B
721,Samsung C&T,Industrials,Trading Companies,Asia,South Korea,9.1,26.0,0.2,24.1,894,#510,$25.7 B,$970 M,$34.8 B,$14.3 B
722,Korea Gas,Utilities,Natural Gas Utilities,Asia,South Korea,5.4,34.8,-0.2,41.4,961,#1168,$21.4 B,$31 M,$34 B,$1.9 B
723,Hyundai Engineering,Industrials,Construction Services,Asia,South Korea,5.9,12.7,0.5,14.0,1082,#1418,$14.8 B,$421 M,$15.8 B,$3.2 B
724,Doosan,Industrials,Construction Services,Asia,South Korea,2.7,20.0,0.1,29.5,1127,#1331,$16.1 B,$-151 M,$25.2 B,$561 M
725,E-mart,Consumer Discretionary,Discount Stores,Asia,South Korea,6.3,11.9,0.4,12.4,1155,#1503,$16.3 B,$195 M,$18.2 B,$2.7 B
726,Hyundai Glovis,Industrials,Other Transportation,Asia,South Korea,8.6,11.7,0.4,4.8,1173,#1584,$15.7 B,$431 M,$8.8 B,$3.1 B
727,S-Oil,Energy,Oil & Gas Operations,Asia,South Korea,6.6,28.5,0.3,11.4,1203,#1446,$20.4 B,$-785 M,$13.4 B,$6.7 B
728,Korean Air,Industrials,Airline,Asia,South Korea,2.1,10.9,-0.2,21.7,1388,#1554,$10.9 B,$-539 M,$23.4 B,$1.6 B
729,Hyundai Marine & Fire,Financials,Property & Casualty Insurance,Asia,South Korea,2.5,10.0,0.3,21.9,1404,#1285,$11.9 B,$214 M,$39.2 B,$1.7 B
730,Lotte Chemical,Materials,Specialized Chemicals,Asia,South Korea,6.2,15.0,0.3,10.1,1430,#1119,$13 B,$613 M,$17.3 B,$6.1 B
731,KT&G,Consumer Staples,Tobacco,Asia,South Korea,10.3,3.5,0.5,6.7,1524,#1563,$4.3 B,$889 M,$9.3 B,$8.4 B
732,GS Holdings,Energy,Oil & Gas Operations,Asia,South Korea,4.2,8.8,0.3,12.0,1568,#1191,$15.1 B,$467 M,$21.4 B,$3 B
733,CJ Cheiljedang,Consumer Staples,Food Processing,Asia,South Korea,3.6,9.9,0.1,12.3,1707,#1326,$19.2 B,$131 M,$22.7 B,$3.6 B
734,LG Uplus,Telecommunication Services,Telecommunications services,Asia,South Korea,4.3,10.5,0.3,11.2,1759,#1674,$10.6 B,$376 M,$15.5 B,$4.8 B
735,DGB Financial Group,Financials,Consumer Financial Services,Asia,South Korea,2.0,1.7,0.2,35.6,1835,#1757,$2.6 B,$276 M,$62.7 B,$732 M
736,Meritz Financial Group,,,Asia,South Korea,0.9,5.3,0.1,20.0,1843,#1383,$7.9 B,$329 M,$53.1 B,$1.1 B
737,Daelim Industrial,Industrials,Construction Services,Asia,South Korea,2.8,9.0,0.0,10.2,1933,#1733,$8.4 B,$564 M,$11.6 B,$2.8 B
738,BBVA-Banco Bilbao Vizcaya,Financials,Major Banks,Europe,Spain,71.0,28.2,3.0,802.8,118,#320,$38.3 B,$617 M,$802 B,$21.8 B
739,Iberdrola,Utilities,Electric Utilities,Europe,Spain,44.1,43.6,3.4,127.3,133,#120,$39.7 B,$4.1 B,$136.6 B,$62.5 B
740,Inditex,Consumer Discretionary,Apparel/Footwear Retail,Europe,Spain,94.3,22.2,3.2,18.6,313,#244,$31.6 B,$4.1 B,$31.5 B,$79.3 B
741,CaixaBank,Financials,Regional Banks,Europe,Spain,33.3,15.9,0.7,468.8,325,#462,$11.3 B,$1.4 B,$456.9 B,$10.7 B
742,Mapfre,Financials,Diversified Insurance,Europe,Spain,13.2,27.3,1.0,74.1,376,#731,$24.5 B,$591 M,$76.7 B,$5.6 B
743,Grupo ACS,Industrials,Construction Services,Europe,Spain,12.4,50.9,0.9,54.8,382,#564,$43.7 B,$1.1 B,$43.3 B,$7.6 B
744,Ferrovial,Industrials,Other Transportation,Europe,Spain,16.1,10.8,1.0,31.4,556,#1115,$6.8 B,$300 M,$27.1 B,$18.3 B
745,Bankia,Financials,Regional Banks,Europe,Spain,24.3,5.1,0.7,346.5,582,#1242,$4 B,$479 M,$229.8 B,$3.1 B
746,Banco de Sabadell,Financials,Regional Banks,Europe,Spain,13.0,9.5,0.3,225.2,688,#837,$7.6 B,$859 M,$251.2 B,$2.4 B
747,Bankinter,Financials,Regional Banks,Europe,Spain,7.4,3.0,0.3,76.0,1263,#1212,$2.6 B,$616 M,$94 B,$3.7 B
748,Abengoa,Industrials,Construction Services,Europe,Spain,4.0,9.8,0.1,29.1,1330,#1936,$1.7 B,$999 M,$4.3 B,$305 M
749,Acciona,Industrials,Construction Services,Europe,Spain,4.9,8.8,-2.6,23.1,1443,#1647,$8 B,$394 M,$19.5 B,$5.4 B
750,Grifols,Health Care,Biotechs,Europe,Spain,13.2,3.6,0.5,8.0,1489,#959,$5.7 B,$700 M,$17.4 B,$23.3 B
751,Liberbank,Financials,Regional Banks,Europe,Spain,1.8,2.0,0.1,61.4,1645,#1882,$862 M,$125 M,$47.1 B,$609 M
752,Nordea Bank,Financials,Regional Banks,Europe,Sweden,58.0,25.6,4.1,868.7,119,#291,$13 B,$1.7 B,$622.8 B,$26.1 B
753,Ericsson,Information Technology,Communications Equipment,Europe,Sweden,43.5,34.9,1.8,41.9,235,#704,$23.8 B,$215 M,$29.5 B,$28.9 B
754,Svenska Handelsbanken,Financials,Major Banks,Europe,Sweden,32.1,10.1,2.2,387.7,289,#464,$7.2 B,$1.7 B,$363 B,$18.3 B
755,Swedbank,Financials,Major Banks,Europe,Sweden,29.8,10.7,2.0,283.5,296,#577,$6.2 B,$1.3 B,$270 B,$13.2 B
756,Volvo Group,Industrials,Heavy Equipment,Europe,Sweden,34.7,41.8,0.6,53.7,352,#233,$43.4 B,$3.1 B,$55.6 B,$26.3 B
757,Atlas Copco,Industrials,Other Industrial Equipment,Europe,Sweden,35.4,12.9,1.9,13.7,514,#658,$10.9 B,$1.7 B,$12.1 B,$42.2 B
758,SCA,Consumer Staples,Household/Personal Care,Europe,Sweden,20.8,13.7,0.9,22.2,541,#1439,$2 B,$1.6 B,$10.1 B,$7.6 B
759,Sandvik,Industrials,Other Industrial Equipment,Europe,Sweden,18.0,13.4,0.8,14.6,649,#868,$10.6 B,$759 M,$12.5 B,$19.4 B
760,Skanska,Industrials,Construction Services,Europe,Sweden,9.7,21.0,0.6,13.6,781,#1008,$18.4 B,$664 M,$13.3 B,$7.9 B
761,Assa Abloy,Industrials,Other Industrial Equipment,Europe,Sweden,20.0,7.4,0.7,10.2,864,#823,$9.9 B,$1 B,$12.8 B,$20 B
762,ICA Gruppen,Consumer Discretionary,Printing & Publishing,Europe,Sweden,7.4,11.9,1.6,10.7,870,#1408,$12.7 B,$375 M,$10.4 B,$8.8 B
763,SKF Group,Industrials,Other Industrial Equipment,Europe,Sweden,11.7,9.8,0.1,11.1,1264,#1476,$8.9 B,$531 M,$10.2 B,$7.3 B
764,Electrolux Group,Consumer Discretionary,Household Appliances,Europe,Sweden,6.3,16.8,0.1,11.8,1351,#1965,$13.3 B,$265 M,$11.4 B,$4 B
765,Alfa Laval,Industrials,Other Industrial Equipment,Europe,Sweden,11.5,4.6,0.5,5.4,1456,#1884,$4.9 B,$552 M,$6.5 B,$7.9 B
766,Hexagon,Industrials,Other Industrial Equipment,Europe,Sweden,12.3,3.2,0.5,7.5,1486,#1249,$4.3 B,$766 M,$11.8 B,$18.3 B
767,Lundbergs,Financials,Real Estate,Europe,Sweden,5.9,3.1,0.5,15.0,1566,#1078,$2.7 B,$1.3 B,$18.7 B,$10.5 B
768,Securitas,Consumer Discretionary,Business & Personal Services,Europe,Sweden,4.3,10.1,0.3,5.8,1920,#1941,$11.7 B,$355 M,$6.6 B,$4.3 B
769,Novartis,Health Care,Pharmaceuticals,Europe,Switzerland,227.4,57.9,9.2,126.3,54,#68,$48.6 B,$12.2 B,$123.1 B,$193 B
770,UBS,Financials,Investment Services,Europe,Switzerland,81.0,39.7,3.4,1135.5,79,#109,$34.2 B,$4.8 B,"$1,098.1 B",$38.4 B
771,Zurich Insurance Group,Financials,Diversified Insurance,Europe,Switzerland,45.8,71.9,4.0,397.1,84,#76,$71.8 B,$4.1 B,$381.9 B,$47.4 B
772,Roche Holding,Health Care,Pharmaceuticals,Europe,Switzerland,253.7,50.5,12.0,69.9,90,#74,$61.9 B,$13.6 B,$85.8 B,$297.4 B
773,Credit Suisse Group,Financials,Investment Services,Europe,Switzerland,52.3,39.5,2.8,981.2,112,#160,$32.8 B,$4 B,$860.1 B,$22 B
774,Swiss Re,Financials,Diversified Insurance,Europe,Switzerland,34.7,36.8,4.4,205.2,132,#309,$49 B,$734 M,$238.6 B,$20.3 B
775,ABB,Industrials,Conglomerates,Europe,Switzerland,60.0,41.8,2.8,48.4,169,#298,$28 B,$1.4 B,$46.1 B,$40.5 B
776,Richemont,Consumer Discretionary,Specialty Stores,Europe,Switzerland,54.3,13.6,2.8,21.1,371,#401,$16.4 B,$1.6 B,$34 B,$32.1 B
777,Glencore International,Materials,Diversified Metals & Mining,Europe,Switzerland,67.5,232.6,-7.5,154.9,406,#484,$215.1 B,$-416 M,$124.1 B,$24.5 B
778,Swisscom,Telecommunication Services,Telecommunications services,Europe,Switzerland,31.3,12.3,1.8,23.0,427,#527,$11.5 B,$1.7 B,$25 B,$26.9 B
779,Swiss Life Holding,Financials,Life & Health Insurance,Europe,Switzerland,7.9,20.2,0.8,191.3,480,#364,$25.5 B,$1.2 B,$235.8 B,$11.3 B
780,TE Connectivity,Information Technology,Electronics,Europe,Switzerland,24.7,13.5,1.4,18.4,498,#672,$13.1 B,$699 M,$19.4 B,$24.5 B
781,Swatch Group,Consumer Discretionary,Apparel/Accessories,Europe,Switzerland,33.6,9.1,2.1,11.3,606,#1075,$8.3 B,$735 M,$14.1 B,$10.3 B
782,Adecco,Consumer Discretionary,Business & Personal Services,Europe,Switzerland,16.0,25.9,0.7,12.7,627,#980,$26.2 B,$812 M,$11.9 B,$7.1 B
783,Weatherford International,Energy,Oil Services & Equipment,Europe,Switzerland,13.5,15.3,-0.3,22.0,887,#1481,$5.2 B,$3.6 B,$7.3 B,$315 M
784,Schindler Holding,Industrials,Other Industrial Equipment,Europe,Switzerland,17.1,9.5,0.5,8.8,992,#811,$11.3 B,$868 M,$10.9 B,$23.9 B
785,SGS,Consumer Discretionary,Business & Personal Services,Europe,Switzerland,18.9,6.3,0.6,5.7,1025,#1140,$6.6 B,$664 M,$6.5 B,$17.1 B
786,Helvetia Holding,Financials,Diversified Insurance,Europe,Switzerland,4.5,9.1,0.4,49.6,1048,#976,$10.6 B,$543 M,$63.3 B,$4.5 B
787,Julius Baer Group,Financials,Investment Services,Europe,Switzerland,9.6,2.7,0.2,81.5,1202,#1077,$4.1 B,$468 M,$105.4 B,$8.5 B
788,Givaudan,Materials,Specialized Chemicals,Europe,Switzerland,14.3,4.7,0.5,7.0,1307,#1030,$6.2 B,$706 M,$10.7 B,$30.9 B
789,Coca-Cola HBC,Consumer Staples,Beverages,Europe,Switzerland,9.1,9.1,0.3,10.0,1337,#1376,$7.9 B,$546 M,$9.2 B,$9.3 B
790,Garmin,Consumer Discretionary,Consumer Electronics,Europe,Switzerland,11.6,2.6,0.6,4.9,1407,#1222,$3.8 B,$974 M,$6.1 B,$15.5 B
791,Sika,Materials,Construction Materials,Europe,Switzerland,10.2,5.5,0.4,5.3,1495,#960,$8.2 B,$757 M,$10.4 B,$23.5 B
792,Geberit,Materials,Construction Materials,Europe,Switzerland,12.5,2.2,0.5,2.5,1503,#1359,$3.1 B,$651 M,$3.8 B,$16.2 B
793,STMicroelectronics,Information Technology,Semiconductors,Europe,Switzerland,8.3,8.1,-0.5,9.2,1581,#822,$9.7 B,$1 B,$11.9 B,$23.1 B
794,Lindt & Sprungli,Consumer Staples,Food Processing,Europe,Switzerland,13.2,3.1,0.3,4.4,1700,#1438,$4.5 B,$513 M,$8.4 B,$19.9 B
795,Basler Kantonalbank,Financials,Regional Banks,Europe,Switzerland,2.6,0.9,0.1,44.1,1750,#1892,$670 M,$113 M,$46.3 B,$366 M
796,Luzerner Kantonalbank,Financials,Regional Banks,Europe,Switzerland,3.5,0.7,0.2,32.0,1880,#1893,$633 M,$204 M,$46.3 B,$3.4 B
797,EMS-Chemie Holding,Materials,Specialized Chemicals,Europe,Switzerland,8.8,2.0,0.4,1.8,1918,#1525,$2.2 B,$530 M,$2.3 B,$15.2 B
798,Hon Hai Precision,Information Technology,Electronics,Asia,Taiwan,37.3,127.2,3.4,68.2,139,#121,$172.8 B,$3.7 B,$110.8 B,$35.9 B
799,Taiwan Semiconductor,Information Technology,Semiconductors,Asia,Taiwan,102.0,20.1,6.3,42.4,190,#108,$37.8 B,$13 B,$77.5 B,$265.5 B
800,Cathay Financial,Financials,Life & Health Insurance,Asia,Taiwan,17.1,11.0,1.0,199.3,400,#250,$24.2 B,$2 B,$335.5 B,$17.7 B
801,Fubon Financial,Financials,Investment Services,Asia,Taiwan,13.9,12.5,1.1,149.1,411,#272,$33.3 B,$1.9 B,$284.6 B,$14.6 B
802,Formosa Petrochemical,Energy,Oil & Gas Operations,Asia,Taiwan,24.3,31.4,0.7,17.3,495,#607,$20.9 B,$1.2 B,$13.3 B,$28.7 B
803,Formosa Chemicals,Materials,Specialized Chemicals,Asia,Taiwan,14.1,14.5,0.9,17.4,619,#765,$10.2 B,$961 M,$18.4 B,$14.9 B
804,Quanta Computer,Information Technology,Computer Hardware,Asia,Taiwan,10.3,29.7,0.6,18.6,634,#835,$33.3 B,$516 M,$20.5 B,$8.4 B
805,Chunghwa Telecom,Telecommunication Services,Telecommunications services,Asia,Taiwan,23.9,7.7,1.3,14.3,657,#808,$6.6 B,$1.1 B,$15.9 B,$28.6 B
806,China Steel,Materials,Iron & Steel,Asia,Taiwan,12.9,11.7,0.6,22.9,696,#1126,$11.8 B,$285 M,$22.2 B,$10.4 B
807,Nan Ya Plastics,Materials,Diversified Chemicals,Asia,Taiwan,16.7,10.2,0.7,17.4,702,#802,$9.3 B,$747 M,$18.5 B,$17.7 B
808,Mega Financial Holding,Financials,Investment Services,Asia,Taiwan,9.6,2.4,0.7,95.4,832,#730,$3.3 B,$937 M,$122.9 B,$13.8 B
809,Formosa Plastics,Materials,Specialized Chemicals,Asia,Taiwan,16.0,7.3,0.7,13.4,844,#837,$6.7 B,$1.2 B,$16.6 B,$18.8 B
810,Uni-President,Consumer Staples,Food Processing,Asia,Taiwan,8.8,14.5,0.5,12.4,956,#844,$14.5 B,$615 M,$15.9 B,$13.3 B
811,Asustek Computer,Information Technology,Computer Hardware,Asia,Taiwan,7.5,15.5,0.7,9.1,968,#1850,$11.4 B,$393 M,$11.7 B,$5.1 B
812,Shin Kong Financial,Financials,Life & Health Insurance,Asia,Taiwan,3.0,8.5,0.4,83.2,1037,#798,$15.6 B,$536 M,$132.8 B,$3.7 B
813,Taishin Financial Holdings,Financials,Investment Services,Asia,Taiwan,3.6,2.5,0.6,95.9,1114,#1427,$2.1 B,$469 M,$67.8 B,$4.6 B
814,Delta Electronics,Information Technology,Electronics,Asia,Taiwan,14.9,5.8,0.5,6.3,1165,#1092,$8.8 B,$710 M,$10.1 B,$12.2 B
815,Pegatron,Information Technology,Electronics,Asia,Taiwan,3.5,32.2,0.3,13.9,1205,#900,$44.2 B,$625 M,$19 B,$5.8 B
816,First Financial Holding,Financials,Investment Services,Asia,Taiwan,5.5,1.6,0.4,76.1,1295,#940,$3.1 B,$627 M,$107 B,$9.2 B
817,Hua Nan Financial,Financials,Consumer Financial Services,Asia,Taiwan,5.2,1.5,0.3,71.1,1463,#1079,$2.7 B,$516 M,$91.1 B,$8 B
818,SinoPac Financial,Financials,Consumer Financial Services,Asia,Taiwan,4.0,1.4,0.4,48.3,1465,#1569,$1.8 B,$404 M,$61.2 B,$4.6 B
819,China Life Insurance (Taiwan),Financials,Life & Health Insurance,Asia,Taiwan,2.5,6.8,0.2,30.8,1473,#1012,$11.8 B,$440 M,$66.7 B,$3.1 B
820,Compal Electronics,Information Technology,Computer Hardware,Asia,Taiwan,3.1,23.1,0.1,10.7,1492,#1558,$31.7 B,$225 M,$12.8 B,$2.8 B
821,Taiwan Cooperative Financial,Financials,Consumer Financial Services,Asia,Taiwan,4.6,2.0,0.3,101.9,1521,#986,$3.1 B,$558 M,$124.7 B,$8.8 B
822,Wistron,Information Technology,Computer Hardware,Asia,Taiwan,2.0,22.0,0.2,9.7,1553,#1634,$28.4 B,$220 M,$11.5 B,$2.7 B
823,Chang Hwa Bank,Financials,Regional Banks,Asia,Taiwan,4.6,1.1,0.3,56.2,1557,#1404,$1.6 B,$374 M,$71.2 B,$6.6 B
824,E.Sun Financial,Financials,Consumer Financial Services,Asia,Taiwan,3.5,1.2,0.3,45.1,1666,#901,$2.6 B,$650 M,$83.3 B,$10.7 B
825,Far Eastern New Century,Materials,Diversified Chemicals,Asia,Taiwan,5.6,8.0,0.2,12.3,1705,#1792,$8.1 B,$347 M,$19.2 B,$4.7 B
826,Taiwan Business Bank,Financials,Regional Banks,Asia,Taiwan,1.6,0.9,0.1,44.6,1747,#1779,$1.2 B,$218 M,$58.3 B,$2.6 B
827,Mercuries & Associates,Consumer Discretionary,Department Stores,Asia,Taiwan,0.5,5.2,0.0,23.1,1762,#1580,$6.8 B,$113 M,$42.8 B,$576 M
828,Inventec,Information Technology,Computer Hardware,Asia,Taiwan,3.5,14.9,0.2,6.9,1822,#1848,$16.2 B,$178 M,$6.4 B,$2.8 B
829,Pou Chen,Consumer Discretionary,Apparel/Accessories,Asia,Taiwan,4.1,9.3,0.3,8.3,1840,#1938,$10.1 B,$383 M,$12.1 B,$2.8 B
830,President Chain Store,Consumer Staples,Food Retail,Asia,Taiwan,7.3,6.9,0.3,2.8,1844,#1590,$8.3 B,$341 M,$6.5 B,$10.8 B
831,WPG Holdings,Information Technology,Electronics,Asia,Taiwan,2.0,13.7,0.2,4.5,1865,#1822,$17.1 B,$209 M,$7.7 B,$2.2 B
832,Yuanta Financial Holding,Financials,Investment Services,Asia,Taiwan,5.0,1.2,0.2,29.1,1889,#1074,$4.1 B,$661 M,$80.5 B,$6.7 B
833,Siam Commercial Bank,Financials,Regional Banks,Asia,Thailand,16.6,5.7,1.6,77.1,542,#745,$6.8 B,$1.3 B,$95.6 B,$7.2 B
834,Kasikornbank,Financials,Major Banks,Asia,Thailand,13.3,6.9,1.3,69.7,555,#714,$8.9 B,$1.1 B,$106.1 B,$6.4 B
835,Siam Cement,Materials,Specialized Chemicals,Asia,Thailand,15.5,14.1,1.2,13.4,626,#693,$13.9 B,$882 M,$21.6 B,$12.8 B
836,PTT Global Chemical,Materials,Diversified Chemicals,Asia,Thailand,10.1,18.0,1.1,13.2,687,#1573,$13.3 B,$376 M,$15.1 B,$5.2 B
837,Bangkok Bank,Financials,Regional Banks,Asia,Thailand,10.7,4.6,1.2,79.0,711,#855,$5.8 B,$1.1 B,$103.5 B,$6.1 B
838,Krung Thai Bank,Financials,Regional Banks,Asia,Thailand,8.1,4.5,1.1,76.5,799,#1046,$5.2 B,$906 M,$96.3 B,$4.8 B
839,Advanced Info Service,Telecommunication Services,Telecommunications services,Asia,Thailand,21.0,4.6,1.2,3.4,1018,#1068,$5.8 B,$1 B,$9.7 B,$18.2 B
840,CP All,Consumer Discretionary,Specialty Stores,Asia,Thailand,12.1,8.9,0.3,8.8,1230,#783,$17.7 B,$688 M,$12.5 B,$19.7 B
841,Thai Beverage,Consumer Staples,Beverages,Asia,Thailand,12.1,5.1,0.6,5.6,1261,#1002,$8.7 B,$782 M,$13.8 B,$12.3 B
842,Charoen Pokphand Foods,Consumer Staples,Food Processing,Asia,Thailand,6.7,12.7,0.2,11.1,1414,#1071,$17.2 B,$575 M,$21.2 B,$4.8 B
843,Airports of Thailand,Industrials,Other Transportation,Asia,Thailand,8.5,1.2,0.5,4.7,1612,#1134,$2 B,$837 M,$6.7 B,$27.5 B
844,Isbank,Financials,Regional Banks,Europe,Turkey,9.9,14.6,2.3,114.3,392,#718,$13.9 B,$985 M,$90.3 B,$3.2 B
845,Garanti Bank,Financials,Regional Banks,Europe,Turkey,14.9,9.5,1.9,101.3,414,#799,$9.9 B,$1.1 B,$72.9 B,$5 B
846,Akbank,Financials,Regional Banks,Europe,Turkey,13.2,7.9,1.7,90.4,487,#850,$8.3 B,$1.2 B,$66.7 B,$4.4 B
847,Sabanci Holding,Industrials,Conglomerates,Europe,Turkey,8.1,13.0,0.9,96.1,563,#886,$10.7 B,$665 M,$68.3 B,$2.4 B
848,Halkbank,Financials,Regional Banks,Europe,Turkey,7.9,6.4,1.6,61.1,659,#1247,$9 B,$253 M,$76.3 B,$930 M
849,VakifBank,Financials,Regional Banks,Europe,Turkey,4.8,6.3,0.9,62.9,911,#1004,$8.5 B,$593 M,$68.1 B,$1.6 B
850,Turkish Airlines,Industrials,Airline,Europe,Turkey,4.3,9.9,0.4,11.8,1485,#991,$13.2 B,$798 M,$24.7 B,$2.1 B
851,Etisalat,Telecommunication Services,Telecommunications services,Asia,United Arab Emirates,25.8,10.6,1.9,23.3,458,#358,$14.2 B,$2.4 B,$35.4 B,$36.7 B
852,Emirates NBD,Financials,Regional Banks,Asia,United Arab Emirates,12.8,4.0,0.8,93.1,765,#351,$10.7 B,$3.6 B,$188.3 B,$14.8 B
853,Abu Dhabi Commercial Bank,Financials,Regional Banks,Asia,United Arab Emirates,11.2,2.5,0.9,49.9,813,#776,$5.4 B,$1.2 B,$110.3 B,$8.4 B
854,Emaar Properties,Financials,Real Estate,Asia,United Arab Emirates,17.9,2.9,0.7,17.7,953,#981,$7.1 B,$1.7 B,$31.8 B,$5.3 B
855,DP World,Industrials,Other Transportation,Asia,United Arab Emirates,15.1,3.1,0.6,16.8,1020,#715,$7.4 B,$1.2 B,$34.1 B,$13.3 B
856,Dubai Islamic Bank,Financials,Regional Banks,Asia,United Arab Emirates,6.8,1.3,0.4,30.8,1257,#932,$3.7 B,$1.2 B,$63.1 B,$7.2 B
857,Mashreq Bank,Financials,Regional Banks,Asia,United Arab Emirates,5.3,1.9,0.5,24.4,1396,#1500,$2.8 B,$514 M,$44.3 B,$3.3 B
858,Abu Dhabi Islamic Bank,Financials,Regional Banks,Asia,United Arab Emirates,4.8,1.3,0.3,28.1,1736,#1472,$2 B,$625 M,$34.3 B,$3.6 B
859,HSBC Holdings,Financials,Major Banks,Europe,United Kingdom,192.6,79.6,16.3,2671.3,14,#44,$67.2 B,$3.8 B,"$2,917.8 B",$105.3 B
860,BP,Energy,Oil & Gas Operations,Europe,United Kingdom,148.8,379.2,23.6,305.7,17,#357,$271.6 B,$-3.3 B,$273.9 B,$79.4 B
861,Vodafone,Telecommunication Services,Telecommunications services,Europe,United Kingdom,96.9,65.1,31.8,235.6,38,#465,$49.4 B,$-2.5 B,$174.4 B,$37.9 B
862,Prudential,Financials,Life & Health Insurance,Europe,United Kingdom,56.1,81.9,2.1,528.5,107,#220,$94.5 B,$768 M,$440.4 B,$36.9 B
863,Rio Tinto,Materials,Diversified Metals & Mining,Europe,United Kingdom,103.8,51.2,3.7,111.0,109,#114,$43.2 B,$8 B,$87.8 B,$75.5 B
864,GlaxoSmithKline,Health Care,Pharmaceuticals,Europe,United Kingdom,128.8,41.4,8.5,69.7,116,#97,$44.7 B,$6.8 B,$104.6 B,$104.4 B
865,Standard Chartered,Financials,Major Banks,Europe,United Kingdom,51.1,25.6,4.1,674.4,123,#253,$24.7 B,$1.9 B,$720.4 B,$16.2 B
866,Aviva,Financials,Life & Health Insurance,Europe,United Kingdom,24.1,53.8,3.1,449.9,143,#213,$89.5 B,$3.2 B,$593.1 B,$12 B
867,Barclays,Financials,Major Banks,Europe,United Kingdom,64.6,55.0,0.8,2173.4,160,#181,$28.8 B,$2.6 B,"$1,790.9 B",$23.1 B
868,National Grid,Utilities,Natural Gas Utilities,Europe,United Kingdom,49.6,23.4,3.9,83.9,168,#262,$19 B,$1.9 B,$81.7 B,$41.3 B
869,British American Tobacco,Consumer Staples,Tobacco,Europe,United Kingdom,104.3,23.9,6.1,44.5,173,#91,$33 B,$7.3 B,$186.8 B,$88.8 B
